,Ka,Ku,SicRG,Mus,Aid,Scal,Sal,Ncal,Cam,It,Sp,Fr,Ptg,Rm,Lat,ClG,NTG,Gri,BoG,Grk,RPG,CyG,Got,OE,E,D,Da,Ice,Nor,Blg,SC,Slo,Po,Rus,Ir,Wel,Ma,Hi,Far,Pas,Man,Can,Inu,Jap,Ar,Heb,Hu,Est,Fin,Tur,Bur,cB,wB,Wo,Qui,ChK,Mal
FFS,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+,-,-,0,0,0,0,+,+,-,+,+,-,-,0,0,0,0,0,0
FSP,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,-,+,+,+,+,+,+,+,+,-,-,+,+,-,-,0,0,+,0,+,+,+,+,+,-,-,+,+,+,-,0,-
ADI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,+,+,+,+,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADR,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,-,+,-,-,-,-,-,+,+,+,+,+,-,-,-,-,+,-,+,+
AER,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,0,+,-,-,+,-,0,0,0,0,0,-,-,-,-,0,+,0,0
ARR,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,0,0,+,-,-,-,-,-,-,-,-,0,0,0,0
NPP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,-,-,-,+,+,0,0,0,0
NOC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,+,+
NOO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,0,0
NM1,-,+,+,+,+,+,+,+,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,0,-,-,-,0,0,0,0,-,-,-,-,-,0,0,0,0,0,0
EM1,0,0,-,-,-,+,-,-,+,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM2,+,0,0,0,0,0,0,0,0,+,+,+,+,+,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,0,-,-,-,0,0,0,0,-,-,-,-,-,0,0,0,0,0,0
NOA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,0,-,-,-,0,0,0,0,-,-,-,-,-,0,0,0,0,0,0
GCN,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,+,+,-,+,+,-,-,-,-,-,-,-
GFN,+,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,-,-,+,0,+,+,0,0,0,0,0,-,-
GAL,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,+,+,-,-,-,+,-,+
